SERIES_CODE,שם סדרה,FREQ,תדירות,UNIT_MEASURE,יחידות מידה,DATA_ITEM,פריט,BALANCE_SHEET_SECTION,סיווג מאזני,DATA_TYPE,סוג נתון,COUNTERPART_SECTOR,מגזר נגדי,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MULT,מכפיל יחידות,TIME_PERIOD,OBS_VALUE,RELEASE_STATUS,שחרור תצפית
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1998-11,22478.55588716,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1998-12,22674.33523739,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-01,22635.5491141,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-02,22255.40045775,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-03,22071.88766792,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-04,22156.62564685,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-05,21639.8241718,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-06,22018.61145846,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-07,22234.44620203,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1999-08,21878.764522,YP,תצפית משוחררת לציבור ופנימית ( Public)
